stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
sanysidro,,San Ysidro Village Office,,35.5569155,-106.7731799,sandobenalillo-bus2,,,,,1,
redstand_sb,,Red Stand @ Walatowa Center,,35.644294,-106.725564,sandobenalillo-bus2,,,,,1,
redstand_nb,,Red Stand @ Walatowa Center,,35.644573,-106.725186,sandobenalillo-bus2,,,,,1,
bearhead_sb,,Bearhead Canon,,35.620006,-106.723908,sandobenalillo-bus2,,,,,1,
bearhead_nb,,Bearhead Canon,,35.62031,-106.723773,sandobenalillo-bus2,,,,,1,
jemez_trailhouse,,Jemez Pueblo Trail House,,35.687429,-106.736877,sandobenalillo-bus2,,,,,1,
210-1,,Fresnius Dialysis,,34.8186632635691,-106.76900178194,lunas_belen-bus,,,,,1,
210-2,,N.M. 6 & Camelot,,34.8134619870368,-106.756239831448,lunas_belen-bus,,,,,1,
210-4,,N.M. 6 & Valencia,,34.8159371485717,-106.695840507746,lunas_belen-bus,,,,,1,
210-6,,N.M. 6 & Carson,,34.8053588362741,-106.723046153784,lunas_belen-bus,,,,,1,
210-8,,N.M. 6 & Emilio Lopez,,34.8136634820593,-106.756294816732,lunas_belen-bus,,,,,1,
210-9,,Los Morros & Walmart Distribution Center,,34.8234491608191,-106.770012974739,lunas_belen-bus,,,,,1,
210-10,,Sandsage and Los Morros,,34.8232190653821,-106.773220896721,lunas_belen-bus,,,,,1,
210-11,,N.M. 6 & Valencia,,34.8160032105832,-106.695522665977,lunas_belen-bus,,,,,1,
210-14,,N.M. 6 & Luna,,34.8062739078809,-106.732993125916,lunas_belen-bus,,,,,1,
210-15,,N.M. 6 & Los Cerritos,,34.8145586425136,-106.750558912754,lunas_belen-bus,,,,,1,
210-16,,N.M. 6 & Los Lentes,,34.805414996196,-106.727786958218,lunas_belen-bus,,,,,1,
210-17,,N.M. 6 and Carson Dr,,34.8051264879552,-106.722779273987,lunas_belen-bus,,,,,1,
210-19,,N.M. 6 & Luna,,34.8062911938646,-106.732547650711,lunas_belen-bus,,,,,1,
210-20,,N.M. 6 & Los Lentes,,34.8056206235554,-106.728242021721,lunas_belen-bus,,,,,1,
210-23,,N.M. 6 & Los Cerritos,,34.8147127897038,-106.750958561897,lunas_belen-bus,,,,,1,
210-24,,N.M. 6 & Hunning Ranch Loop,,34.8169963364388,-106.770471632481,lunas_belen-bus,,,,,1,
210-25,,NM6 & Desert Willow,,34.816381,-106.765789,lunas_belen-bus,,,,,1,
otero_sb,,Otero Street @ Crosswalk,,34.80422,-106.736812,lunas_belen-bus,,,,,1,
2889,,5th @ G Street (Bldg. 800),,35.053579,-106.54963,,,,,,1,
3107,,Coors @ Rio Bravo,,35.025737,-106.714014,,,,,,1,
70427010,,Rio Bravo @ Del Rio,,35.026692,-106.689103,,,,,,1,
70427007,,Bernalillo Cnty Rail Runner Station,,35.030276,-106.65726,,,,,,1,
704230764,,Rio Bravo @ Isleta,,35.026637,-106.681774,,,,,,1,
704230507,,Prince @ Rio Bravo,,35.027568,-106.65231,,,,,,1,
704230508,,Prince @ Rio Bravo,,35.027653,-106.652499,,,,,,1,
70427005,,University @ Spirit Dr.,,35.025672,-106.633058,,,,,,1,
70427006,,University @ Spirit Dr.,,35.025952,-106.633116,,,,,,1,
3805,,Airport Terminal @ Yale,,35.0497,-106.618085,,,,,,1,
704230042,,Girard @ Gibson,,35.057679,-106.613183,,,,,,1,
2941,,Gibson @ Carlisle,,35.058085,-106.603619,,,,,,1,
2947,,Gibson @ Truman,,35.058077,-106.58899,,,,,,1,
6492,,VA Loop @ Ridgecrest,,35.057202,-106.585519,,,,,,1,
704230726,,VA Hospital @ Main Entrance,,35.055281,-106.582916,,,,,,1,
1066,,9th @ V Street (Area 4),,35.034674,-106.544256,,,,,,1,
2921,,Gibson @ Truman,,35.058351,-106.589054,,,,,,1,
2927,,Gibson @ Carlisle,,35.058392,-106.60467,,,,,,1,
704230043,,Girard @ Gibson,,35.057871,-106.613394,,,,,,1,
70707004,,Randolph Road @ Buena Vista Dr.,,35.053562,-106.625479,,,,,,1,
2919,,Gibson @ San Mateo,,35.058504,-106.585637,,,,,,1,
704230765,,Rio Bravo @ Isleta,,35.026986,-106.681854,,,,,,1,
70427011,,Rio Bravo @ Del Rio,,35.026949,-106.690161,,,,,,1,
704230288,,Lamonica @ Walmart,,35.025117,-106.711354,,,,,,1,
2949,,Gibson @ San Mateo,,35.058172,-106.586645,,,,,,1,
6392,,Gibson @ Cardenas,,35.05845,-106.580202,,,,,,1,
6394,,Gibson @ Valencia,,35.058461,-106.582129,,,,,,1,
70423025,7060,Century Rio 24 Theatre,,35.141879,-106.600279,,,,,,1,
70423026,7062,Jefferson @ Singer.,,35.144869,-106.596665,,,,,,1,
70423028,7066,Jefferson St @ Jefferson Plaza,,35.152619,-106.593348,,,,,,1,
70423029,7068,Jefferson St @ Jefferson Plaza,,35.152587,-106.593004,,,,,,1,
6600,6600,Northbound Jefferson @ Osuna,,35.157001,-106.593245,,,,,,1,
6604,6604,Jefferson @ Masthead,,35.164306,-106.59299,,,,,,1,
6606,6606,Jefferson @ San Francisco,,35.16815,-106.588892,,,,,,1,
6608,6608,Jefferson @ Headline,,35.171607,-106.590391,,,,,,1,
70423030,7071,El Pueblo,,35.176227,-106.617106,,,,,,1,
704230035,7028,NW Transit Center (Bay B),,35.206514,-106.66022,,,,,,1,
70828002,7170,Intel Dr @ 21st,,35.22316,-106.659782,,,,,,1,
70828003,7172,Intel Dr @ 19th,,35.222912,-106.660039,,,,,,1,
704230258,5866,N.M. 528 @ Hilltop Plaza,,35.23364,-106.658207,,,,,,1,
704230259,5864,N.M. 528 @ Hilltop Plaza,,35.233603,-106.657811,,,,,,1,
704230260,5862,Southern @ N.M. 528,,35.241357,-106.657397,,,,,,1,
704230261,5860,Southern @ N.M. 528,,35.241595,-106.6573,,,,,,1,
704230262,5878,Southern @ Pinetree,,35.241675,-106.667224,,,,,,1,
704230264,5876,Southern @ Pinetree (Robin),,35.241502,-106.666501,,,,,,1,
704230265,5882,Southern @ Country Club,,35.241673,-106.67281,,,,,,1,
704230266,5880,Southern @ Sara,,35.241506,-106.672693,,,,,,1,
